date,time,xacc,yacc,zacc,heartrate,spo2,stepcount,temp,falldetection
2026-05-01,08:00:00,0.19,0.10,1.11,98,94,120,37.0,0
2026-05-01,08:00:05,0.12,-0.03,1.06,72,98,130,36.5,0
2026-05-01,08:00:10,0.10,-0.09,1.04,74,99,140,36.6,0
2026-05-01,08:00:15,0.03,-0.12,1.02,76,97,150,36.7,0
2026-05-01,08:00:20,-0.06,-0.10,0.99,78,98,156,36.8,0
2026-05-01,08:00:25,-0.26,-0.12,1.02,103,96,166,37.5,0
2026-05-01,08:00:30,-0.11,0.02,0.95,82,97,176,36.4,0
2026-05-01,08:00:35,-0.05,0.08,0.94,84,98,186,36.5,0
2026-05-01,08:00:40,0.04,0.05,0.20,96,95,194,36.7,1
2026-05-01,08:00:45,2.40,-1.60,0.50,118,91,194,36.9,1
2026-05-01,08:00:50,-2.20,1.10,-0.80,121,90,194,37.0,1
2026-05-01,08:00:55,0.15,-0.12,0.25,108,93,194,36.8,1
2026-05-01,08:01:00,0.03,0.12,0.95,73,98,196,36.5,0
2026-05-01,08:01:05,0.10,0.11,0.96,75,99,206,36.6,0
2026-05-01,08:01:10,0.12,0.06,0.99,77,97,216,36.7,0
2026-05-01,08:01:15,0.07,-0.01,1.02,79,98,222,36.8,0
2026-05-01,08:01:20,-0.02,-0.18,1.09,103,96,232,37.5,0
2026-05-01,08:01:25,-0.09,-0.12,1.06,83,97,242,36.4,0
2026-05-01,08:01:30,-0.12,-0.11,1.06,85,98,252,36.5,0
2026-05-01,08:01:35,-0.09,-0.07,1.05,87,99,258,36.6,0
2026-05-01,08:01:40,0.07,0.01,0.23,97,96,269,36.8,1
2026-05-01,08:01:45,2.58,-1.35,0.70,119,92,269,37.0,1
2026-05-01,08:01:50,-2.36,1.32,-0.55,122,91,269,37.1,1
2026-05-01,08:01:55,0.19,-0.07,0.29,109,94,269,36.9,1
2026-05-01,08:02:00,-0.02,0.00,1.03,76,99,272,36.6,0
2026-05-01,08:02:05,0.07,0.07,1.00,78,97,282,36.7,0
2026-05-01,08:02:10,0.12,0.11,0.97,80,98,288,36.8,0
2026-05-01,08:02:15,0.25,0.27,1.00,103,96,298,37.5,0
2026-05-01,08:02:20,0.04,0.08,0.94,84,97,308,36.4,0
2026-05-01,08:02:25,-0.04,0.01,0.94,86,98,318,36.5,0
2026-05-01,08:02:30,-0.11,-0.06,0.96,88,99,324,36.6,0
2026-05-01,08:02:35,-0.12,-0.11,0.98,90,97,334,36.7,0
2026-05-01,08:02:40,0.08,-0.03,0.26,98,95,344,36.9,1
2026-05-01,08:02:45,2.76,-1.10,0.90,120,93,344,37.1,1
2026-05-01,08:02:50,-2.52,1.54,-0.30,123,92,344,37.2,1
2026-05-01,08:02:55,0.23,-0.02,0.33,110,95,344,37.0,1
2026-05-01,08:03:00,-0.07,-0.12,1.01,79,97,348,36.7,0
2026-05-01,08:03:05,0.02,-0.09,1.03,81,98,354,36.8,0
2026-05-01,08:03:10,0.21,-0.06,1.10,103,96,364,37.5,0
2026-05-01,08:03:15,0.12,0.05,1.06,85,97,374,36.4,0
2026-05-01,08:03:20,0.09,0.10,1.05,87,98,384,36.5,0
2026-05-01,08:03:25,0.01,0.12,1.04,89,99,390,36.6,0
2026-05-01,08:03:30,-0.07,0.09,1.01,91,97,400,36.7,0
2026-05-01,08:03:35,-0.27,0.08,1.03,108,95,410,37.4,0
2026-05-01,08:03:40,0.06,-0.06,0.29,99,96,419,37.0,1
2026-05-01,08:03:45,2.94,-0.85,1.10,121,94,419,37.2,1
2026-05-01,08:03:50,-2.68,1.76,-0.05,124,93,419,37.3,1
2026-05-01,08:03:55,0.27,0.03,0.37,111,93,419,37.1,1
2026-05-01,08:04:00,-0.10,-0.04,0.96,82,98,420,36.8,0
2026-05-01,08:04:05,-0.09,-0.22,0.99,103,96,430,37.5,0
2026-05-01,08:04:10,0.05,-0.12,0.94,86,97,440,36.4,0
2026-05-01,08:04:15,0.11,-0.10,0.95,88,98,450,36.5,0
2026-05-01,08:04:20,0.11,-0.04,0.97,90,99,456,36.6,0
2026-05-01,08:04:25,0.06,0.03,1.00,92,97,466,36.7,0
2026-05-01,08:04:30,-0.05,0.21,1.07,108,95,476,37.4,0
2026-05-01,08:04:35,-0.10,0.12,1.05,71,99,486,36.9,0
2026-05-01,08:04:40,0.03,-0.08,0.32,100,95,494,37.1,1
2026-05-01,08:04:45,3.12,-0.60,0.50,122,91,494,37.3,1
2026-05-01,08:04:50,-2.84,1.98,0.20,125,94,494,37.4,1
